,NAME,WEB_NAME,TEAM,RK,POSITION,COST,AGE,MATCHES_PLAYED,STARTS,MINUTES,GOALS,ASSISTS,PENALTIES,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,xG,xA,OWN_GOALS,GOALS_CONCEDED,CLEAN_SHEETS,SAVES,POINTS,MINUTES_PER_ASSIST,MINUTES_PER_GOAL,MINUTES_PER_GAME,MINUTES_PER_POINT,MINUTES_PER_XG,MINUTES_PER_XA,xg_diff,xa_diff
78,carney chukwuemeka,Chukwuemeka,Chelsea,6,MF,50,19,9,2,227,1,1,0,0,2,0,0.2,0.3,0,5,0,0,16,227.0,227.0,25.22222222222222,14.1875,1135.0,756.6666666666667,0.8,0.7
79,jordan ayew,J.Ayew,Crystal Palace,10,MF,55,31,35,30,2543,4,7,0,0,9,1,3.9,4.2,0,39,11,0,109,363.2857142857143,635.75,72.65714285714286,23.3302752293578,652.0512820512821,605.4761904761905,0.10000000000000009,2.8
80,aaron wan-bissaka,Wan-Bissaka,West Ham,9,DF,45,25,22,20,1780,0,2,0,0,4,0,0.1,1.5,0,34,3,0,47,890.0,3510.0,80.9090909090909,37.87234042553192,17800.0,1186.6666666666667,-0.1,0.5
81,jarrod bowen,Bowen,West Ham,9,MF,75,26,34,34,3019,16,6,0,0,2,0,11.6,5.5,0,63,5,0,182,503.1666666666667,188.6875,88.79411764705883,16.587912087912088,260.2586206896552,548.9090909090909,4.4,0.5
82,mario lemina,Mario Jr.,Wolves,14,MF,50,29,35,34,2968,4,1,0,0,12,1,4.6,1.5,0,55,4,0,95,2968.0,742.0,84.8,31.242105263157896,645.2173913043479,1978.6666666666667,-0.5999999999999996,-0.5
83,jefferson lerma solis,Lerma,Crystal Palace,10,MF,50,28,28,27,2400,1,1,0,0,8,0,2.7,2.2,0,46,5,0,64,2400.0,2400.0,85.71428571428571,37.5,888.8888888888888,1090.9090909090908,-1.7000000000000002,-1.2000000000000002
84,cheick doucoure,C.Doucouré,Crystal Palace,10,MF,50,23,11,11,919,0,0,0,0,2,0,0.3,0.7,0,12,3,0,21,3510.0,3510.0,83.54545454545455,43.76190476190476,3063.3333333333335,1312.857142857143,-0.3,-0.7
85,dan burn,Burn,Newcastle,7,DF,45,31,33,32,2726,2,2,0,0,4,0,3.1,1.1,0,45,8,0,97,1363.0,1363.0,82.60606060606061,28.103092783505154,879.3548387096774,2478.181818181818,-1.1,0.8999999999999999
86,adam smith,Smith,Bournemouth,12,DF,45,32,28,25,2150,0,2,0,0,6,0,0.1,1.3,0,33,8,0,80,1075.0,3510.0,76.78571428571429,26.875,21500.0,1653.8461538461538,-0.1,0.7
87,manor solomon,Solomon,Spurs,5,MF,55,24,5,2,199,0,2,0,0,1,0,0.4,0.8,0,2,0,0,14,99.5,3510.0,39.8,14.214285714285714,497.5,248.75,-0.4,1.2
88,justin kluivert,Kluivert,Bournemouth,12,MF,55,24,32,26,1916,7,1,0,0,5,0,6.2,1.9,0,23,11,0,100,1916.0,273.7142857142857,59.875,19.16,309.0322580645161,1008.421052631579,0.7999999999999998,-0.8999999999999999
89,marcus tavernier,Tavernier,Bournemouth,12,MF,55,24,30,25,2118,3,4,0,0,3,0,3.9,5.2,0,38,8,0,89,529.5,706.0,70.6,23.797752808988765,543.0769230769231,407.3076923076923,-0.8999999999999999,-1.2000000000000002
90,youri tielemans,Tielemans,Aston Villa,4,MF,55,26,32,17,1622,2,6,0,0,3,0,1.3,2.6,0,27,4,0,77,270.3333333333333,811.0,50.6875,21.064935064935064,1247.6923076923076,623.8461538461538,0.7,3.4
91,dominic calvert-lewin,Calvert-Lewin,Everton,15,FW,60,26,32,26,2171,7,2,2,0,2,0,12.9,3.1,0,27,13,0,101,1085.5,310.14285714285717,67.84375,21.495049504950494,168.29457364341084,700.3225806451612,-5.9,-1.1
92,tariq lamptey,Lamptey,Brighton,11,DF,45,22,19,10,914,0,3,0,0,3,0,0.4,1.2,0,20,1,0,31,304.6666666666667,3510.0,48.10526315789474,29.483870967741936,2285.0,761.6666666666667,-0.4,1.8
93,nathan collins,Collins,Brentford,16,DF,45,22,32,29,2652,1,1,0,0,3,0,1.7,2.2,0,51,7,0,84,2652.0,2652.0,82.875,31.571428571428573,1560.0,1205.4545454545453,-0.7,-1.2000000000000002
94,richarlison de andrade,Richarlison,Spurs,5,FW,70,26,28,18,1491,11,4,0,0,3,0,9.6,2.1,0,18,7,0,122,372.75,135.54545454545453,53.25,12.221311475409836,155.3125,710.0,1.4000000000000004,1.9
95,kieran trippier,Trippier,Newcastle,7,DF,60,32,28,26,2236,1,10,0,0,5,0,0.7,7.5,0,43,6,0,111,223.6,2236.0,79.85714285714286,20.144144144144143,3194.2857142857147,298.1333333333333,0.30000000000000004,2.5
96,matheus franca de oliveira,M.França,Crystal Palace,10,MF,45,19,10,1,232,0,1,0,0,1,0,0.4,0.9,0,7,0,0,16,232.0,3510.0,23.2,14.5,580.0,257.77777777777777,-0.4,0.09999999999999998
97,nicolas jackson,N.Jackson,Chelsea,6,FW,75,22,35,31,2799,14,5,0,0,10,0,18.6,4.3,0,48,9,0,142,559.8,199.92857142857142,79.97142857142858,19.711267605633804,150.48387096774192,650.9302325581396,-4.600000000000001,0.7000000000000002
98,hugo bueno lopez,H.Bueno,Wolves,14,DF,45,20,22,7,741,0,0,0,0,1,0,0.3,0.8,1,16,2,0,29,3510.0,3510.0,33.68181818181818,25.551724137931036,2470.0,926.25,-0.3,-0.8
99,mason mount,Mount,Man Utd,8,MF,65,24,14,5,516,1,0,0,0,2,0,0.4,0.3,0,13,1,0,23,3510.0,516.0,36.857142857142854,22.434782608695652,1290.0,1720.0,0.6,-0.3
100,manuel akanji,Akanji,Man City,1,DF,55,28,30,28,2511,2,0,0,0,4,1,1.9,0.5,0,23,11,0,112,3510.0,1255.5,83.7,22.419642857142858,1321.578947368421,5022.0,0.10000000000000009,-0.5
101,rayan ait-nouri,Aït-Nouri,Wolves,14,DF,45,22,33,29,2329,2,1,0,0,7,0,3.3,2.4,0,43,3,0,77,2329.0,1164.5,70.57575757575758,30.246753246753247,705.7575757575758,970.4166666666667,-1.2999999999999998,-1.4
102,alphonse areola,Areola,West Ham,9,GK,45,30,31,31,2699,0,0,0,0,1,0,0.0,0.0,1,53,4,138,116,3510.0,3510.0,87.06451612903226,23.267241379310345,35100.0,35100.0,0.0,0.0
103,dean henderson,Henderson,Crystal Palace,10,GK,45,26,18,18,1620,0,0,0,0,2,0,0.0,0.0,2,30,4,58,48,3510.0,3510.0,90.0,33.75,35100.0,35100.0,0.0,0.0
104,matt targett,Targett,Newcastle,7,DF,40,27,3,1,78,0,0,0,0,1,0,0.0,0.0,0,4,0,0,2,3510.0,3510.0,26.0,39.0,35100.0,35100.0,0.0,0.0
105,reece james,James,Chelsea,6,DF,50,23,10,5,419,0,2,0,0,2,2,0.3,1.7,0,13,0,0,11,209.5,3510.0,41.9,38.09090909090909,1396.6666666666667,246.47058823529412,-0.3,0.30000000000000004
106,bruno guimaraes rodriguez moura,Bruno G.,Newcastle,7,MF,65,25,34,34,2931,7,8,0,0,8,0,4.1,3.9,0,0,0,0,0,366.375,418.7142857142857,86.20588235294117,270.0,714.8780487804879,751.5384615384615,2.9000000000000004,4.1
107,lewis dobbin,Dobbin,Aston Villa,4,MF,50,20,12,1,232,1,0,0,0,1,0,0.3,0.5,0,3,1,0,18,3510.0,232.0,19.333333333333332,12.88888888888889,773.3333333333334,464.0,0.7,-0.5
108,rodrigo 'rodri' hernandez,Rodrigo,Man City,1,MF,65,27,34,34,2931,8,9,0,0,8,1,4.1,3.9,0,0,0,0,0,325.6666666666667,366.375,86.20588235294117,270.0,714.8780487804879,751.5384615384615,3.9000000000000004,5.1
109,eddie nketiah,Nketiah,Arsenal,2,FW,60,24,27,10,1082,5,2,0,0,3,0,4.5,0.8,0,10,6,0,71,541.0,216.4,40.074074074074076,15.23943661971831,240.44444444444446,1352.5,0.5,1.2
110,rodrigo martins gomes,R.Gomes,Wolves,14,MF,55,27,34,34,2931,8,9,0,0,8,1,4.1,3.9,0,0,0,0,0,325.6666666666667,366.375,86.20588235294117,270.0,714.8780487804879,751.5384615384615,3.9000000000000004,5.1
