NAME,AGE,TEAM_RANK,POSITION,MATCHES_PLAYED,STARTS,MINUTES,GOALS,ASSISTS,PENALTIES,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,xG,xA,OWN_GOALS,GOALS_CONCEDED,CLEAN_SHEETS,SAVES,POINTS,NEXT_SEASON_POINTS
nathan ake,22,12.0,DF,38,37,3353,2,3,0,0,5,0,1.4,1.9,0,59,6,0,102,120
virgil van dijk,26,10.5,DF,26,25,2254,0,0,0,0,1,0,2.1,2.2,0,56,16,0,156,208
jairo riedewald,20,11.0,"MF,DF",12,4,442,0,0,0,0,0,0,0.0,0.0,0,6,2,0,23,0
mikel merino,21,10.0,MF,24,14,1347,1,1,0,0,4,0,0.6,0.9,0,18,3,0,49,0
yohan benalouane,30,9.0,DF,1,1,90,0,0,0,0,0,0,0.1,0.0,0,2,0,0,1,0
phil jagielka,34,8.0,DF,25,23,2065,0,0,0,0,2,0,0.5,0.0,0,39,6,0,60,22
danilo,26,1.0,DF,23,13,1349,3,2,0,0,2,0,1.1,0.2,0,11,9,0,100,46
alfie mawson,23,18.0,DF,38,38,3420,2,1,0,0,3,0,1.9,0.6,0,56,9,0,112,19
ander herrera,27,2.0,MF,26,13,1268,0,2,0,0,5,0,0.4,1.6,0,14,5,0,44,62
alexis sanchez,28,4.0,"FW,MF",31,29,2546,9,6,1,1,5,0,10.8,7.3000000000000007,0,64,22,0,304,47
timothy fosu-mensah,19,11.0,DF,21,17,1596,0,0,0,0,2,0,0.2,0.3,0,29,2,0,39,14
fabian delph,27,1.0,DF,22,21,1741,1,2,0,0,2,0,0.3,1.2,0,17,6,0,55,29
sofiane boufal,23,17.0,"FW,MF",26,11,1219,2,2,0,0,1,0,1.7,1.8,0,24,1,0,55,0
paul pogba,24,2.0,MF,27,25,2148,6,10,0,0,5,1,7.7,4.5,0,20,11,0,138,179
jonny evans,29,20.0,DF,28,26,2270,2,2,0,0,7,0,2.1,0.9,1,38,6,0,78,77
christian kabasele,26,14.0,DF,28,27,2330,2,0,0,0,5,0,0.7,0.1,1,43,6,0,68,36
jack stephens,23,17.0,DF,22,22,1980,2,0,0,0,6,1,1.3,0.2,0,33,5,0,58,47
roberto pereyra,26,14.0,"MF,FW",32,18,1624,5,2,0,0,3,0,3.3,3.0,0,34,1,0,81,122
jonathan walters,33,7.0,FW,3,0,39,0,0,0,0,0,0,0.2,0.0,0,2,0,0,3,0
matt targett,21,17.0,DF,2,2,166,0,0,0,0,0,0,0.0,0.1,0,6,0,0,2,36
steve mounie,22,16.0,FW,28,21,1855,7,1,0,0,2,0,5.2,1.8,0,32,6,0,92,69
antonio valencia,31,2.0,DF,31,31,2740,3,1,0,0,7,0,0.5,1.2,0,22,16,0,146,17
benjamin mendy,23,1.0,"DF,FW",7,4,363,0,1,0,0,2,0,0.1,0.8,0,1,2,0,20,59
danny rose,27,3.0,DF,10,9,800,0,1,0,0,4,0,0.6,0.6,0,14,2,0,24,86
kenedy,21,10.0,"MF,DF",13,13,1023,2,2,0,0,1,0,2.4,1.7,0,9,6,0,51,50
sam mcqueen,22,17.0,"DF,MF",7,1,148,0,0,0,0,0,0,0.0,0.2,0,2,1,0,14,0
etienne capoue,29,14.0,MF,23,18,1542,1,0,0,0,3,0,0.8,0.6,0,29,4,0,48,79
