,Name,Clean Sheets,Goals Conceded,Own Goals,Saves,Cost,Points
0,name,Clean Sheets,Conceded,Own Goals,Saves,Cost,Points
517,djed spence,0,0,0,0,40,0
518,japhet tanganga,0,0,0,0,40,0
519,destiny udogie,5,43,0,0,49,79
520,guglielmo vicario,7,61,0,110,53,112
521,alfie whiteman,0,0,0,0,39,0
522,nayef aguerd,2,44,0,0,44,36
523,michail antonio,5,34,0,0,57,78
524,alphonse areola,4,53,1,138,42,116
525,said benrahma,2,8,0,0,56,20
526,jarrod bowen,5,63,0,0,76,182
527,maxwel cornet,0,3,0,0,52,13
528,vladimir coufal,4,70,0,0,45,85
529,conor coventry,0,0,0,0,43,0
530,aaron cresswell,0,11,0,0,42,10
531,flynn downes,0,0,0,0,50,0
532,emerson palmieri dos santos,5,67,1,0,43,82
533,lukasz fabianski,1,21,0,33,42,24
534,pablo fornals malla,1,9,0,0,46,19
535,danny ings,0,10,0,0,55,36
536,ben johnson,1,16,0,0,44,17
537,thilo kehrer,0,1,0,0,42,2
538,divin mubama,0,2,0,0,41,5
539,lucas tolentino coelho de lima,4,52,0,0,60,100
540,declan rice,17,28,0,0,55,165
541,gianluca scamacca,0,0,0,0,60,0
542,tomas soucek,5,64,0,0,49,116
543,nikola vlasic,0,0,0,0,45,0
544,kurt zouma,3,63,0,0,45,76
545,rayan ait-nouri,3,43,0,0,46,77
546,daniel bentley,2,7,0,8,39,18
547,bendeguz bolla,0,0,0,0,40,0
548,hugo bueno lopez,2,16,1,0,44,29
549,francisco jorge tomas oliveira,0,0,0,0,45,0
550,luke cundle,0,0,0,0,45,0
551,craig dawson,6,38,0,0,45,69
552,fabio silva,1,8,0,0,52,8
553,ryan giles,0,14,0,0,42,11
554,goncalo manuel ganchinho guedes,0,0,0,0,54,0
555,joe hodge,0,0,0,0,44,0
556,ki-jana hoever,0,0,0,0,40,0
557,hwang hee-chan,3,37,0,0,54,125
558,raul jimenez,4,29,0,0,50,72
559,joao victor gomes da silva,4,51,0,0,49,75
560,jonathan castro otto,0,0,0,0,43,1
561,bruno cavaco jordao,0,0,0,0,43,0
562,sasa kalajdzic,1,2,0,0,49,24
563,max kilman,5,65,0,0,44,82
564,tom king,0,0,0,0,39,0
565,mario lemina,4,55,0,0,49,95
566,matheus luiz nunes,2,13,0,0,47,32
567,pedro lomba neto,3,27,0,0,55,86
568,daniel castelo podence,0,0,0,0,53,0
569,jose malheiro de sa,4,58,0,134,50,107
570,pablo sarabia,6,27,0,0,45,99
571,matija sarkic,0,0,0,0,40,0
572,nelson cabral semedo,5,62,0,0,45,63
573,toti antonio gomes,4,49,0,0,44,82
574,boubacar traore,0,23,0,0,43,25
575,tom lockyer,0,23,1,0,42,23
576,jack robinson,1,83,2,0,43,33
577,angelo ogbonna,2,14,0,0,42,19
578,reiss nelson,1,1,0,0,48,16
